timer,gpu_average_seconds,cpu_average_seconds,gpu_maximum_seconds,cpu_maximum_seconds,gpu_minimum_seconds,cpu_minimum_seconds,average_speedup_cpu_over_gpu,average_time_reduction_percent,maximum_speedup_cpu_over_gpu,maximum_time_reduction_percent
Total Application,84.5603,214.1301,84.5626,214.1355,84.5593,214.1281,2.5322769668508744,60.509848918951604,2.5322719500109976,60.509770682581824
Contingency: Total Application,0.0634,30.9966,0.0738,32.8587,0.0534,29.4219,488.90536277602524,99.79546143770605,445.23983739837394,99.77540194834246
Contingency: Write Results,0.0634,30.9955,0.0738,32.8575,0.0534,29.4209,488.88801261829656,99.79545417883241,445.2235772357724,99.77539374572017
Powerflow: Bus Update,0.7876,3.0772,0.974,3.6334,0.6662,2.5947,3.9070594210259015,74.40530352268296,3.7303901437371665,73.19315241922166
Powerflow: Create Linear Solver,0.0233,0.0735,0.0336,0.0817,0.0203,0.0639,3.15450643776824,68.29931972789116,2.431547619047619,58.87392900856793
Powerflow: Create Mappers,7.6899,26.4593,9.0787,29.6987,6.8787,22.9173,3.4407859660073603,70.93687285755858,3.2712502891383126,69.43064847956306
Powerflow: Factory Load,0.0507,0.1943,0.0674,0.2552,0.0345,0.1337,3.8323471400394475,73.90633041688112,3.7863501483679523,73.58934169278996
Powerflow: Factory Operations,1.3217,9.4741,1.5685,9.8421,1.1398,9.1136,7.168116819247937,86.04933450143021,6.274848581447243,84.06336046169008
Powerflow: Factory Set Components,0.0169,0.0302,0.026,0.0371,0.0125,0.0228,1.7869822485207103,44.039735099337754,1.426923076923077,29.919137466307287
Powerflow: Factory Set Exchange,0.0009,0.001,0.0015,0.0012,0.0007,0.0009,1.1111111111111112,10.000000000000005,0.7999999999999999,-25.000000000000014
Powerflow: Map to Bus,0.2554,1.2133,0.3214,1.2839,0.216,1.1573,4.750587314017228,78.94997115305364,3.9947106409458617,74.96689773346834
Powerflow: Map to Matrix,5.3944,35.2539,6.6253,37.4057,4.7417,32.5926,6.535277324632953,84.69843052825361,5.645887733385658,82.28799354109134
Powerflow: Map to Vector,1.8117,10.8623,2.1636,11.4124,1.5615,10.2639,5.995639454655848,83.32121189803264,5.2747273063412825,81.04167396866565
Powerflow: Network Parser,0.2329,1.0293,0.3116,1.3916,0.1638,0.6806,4.419493344783169,77.3729719226659,4.465982028241335,77.6085081920092
Powerflow: Partition,0.0286,0.0672,0.0374,0.0822,0.0228,0.0511,2.3496503496503496,57.44047619047618,2.197860962566845,54.50121654501216
Powerflow: Solve Linear Equation,3.2901,10.143,4.5503,11.5113,2.6899,8.8525,3.0828850186924415,67.56285122744751,2.529789244665187,60.47101543700538
Powerflow: Total Application,22.6552,107.885,27.6214,110.6067,20.269,106.2785,4.762041385642148,79.00060249339576,4.004384281752555,75.02737175957694
Vector Map: Load Bus Data,4.9383,10.8064,5.3906,11.3597,4.6852,10.2076,2.18828341737035,54.30208024874149,2.1073164397284163,52.54628203209592
Vector Map: New Vector,0.0066,0.0334,0.011,0.039,0.0054,0.027,5.0606060606060606,80.23952095808383,3.545454545454546,71.7948717948718
Vector Map: Set Vector,0.0135,0.0135,0.0168,0.016,0.0124,0.0118,1.0,0.0,0.9523809523809524,-4.999999999999991
loadBusData: Add Elements,0.021,0.0286,0.0241,0.0309,0.0198,0.0252,1.3619047619047617,26.57342657342657,1.2821576763485478,22.006472491909385
loadBusData: Add Vector Elements,4.9375,10.8044,5.3885,11.3577,4.6845,10.2057,2.188232911392405,54.301025508126315,2.1077665398533916,52.55641547144228
loadBusData: Fill Buffer,4.9116,10.7633,5.3619,11.3117,4.6591,10.171,2.191404023128919,54.36715505467654,2.1096439694884275,52.59863680967494
mapToBus: get Data,0.0084,0.1505,0.0103,0.167,0.0069,0.1362,17.916666666666668,94.4186046511628,16.21359223300971,93.8323353293413
mapToBus: set Data,0.1266,0.5808,0.1613,0.6034,0.1035,0.5537,4.587677725118484,78.20247933884298,3.7408555486670805,73.26814716605901
