dataset,column,unit,compared_values,missing_either,cpu_mean,gpu_mean,mean_signed_difference,mean_absolute_difference,root_mean_squared_difference,maximum_absolute_difference,mean_absolute_percent_difference,mean_signed_percent_change,symmetric_mean_absolute_percent_difference,reference_zero_excluded,within_tolerance_count,within_tolerance_percent,circular_difference
flat,p_from_mw,MW,938077050,0,-13.004395556396664,-13.004395415894471,1.4050221141226514e-07,1.046185992930982e-05,0.0010130427604038094,1.921100000000024,0.00020080975646932398,-9.505190523881374e-05,0.000590212929057739,79474254,928240476,98.9514108675828,False
flat,q_from_mvar,MVAr,938077050,0,-3.9700771991477644,-3.9700759744698977,1.224677866279792e-06,6.236999700610953e-05,0.013431426449912685,39.23300000000001,0.007533929754049185,-0.005631672557382967,0.0017629373816680429,81842186,928791286,99.01012779280764,False
flat,mva_from,MVA,938077050,0,73.58221361803169,73.58221427729391,6.592622642244183e-07,2.5134192548469285e-05,0.005149000770344497,19.046000000000006,8.21793864658323e-05,9.61008738985854e-06,0.0005249608102814084,79442500,928817219,99.01289227787845,False
flat,rate_mva,MVA,938077050,0,463.30804870242827,463.30804870242827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,938077050,100.0,False
flat,loading_percent,percent,938077050,0,18.550635893394894,18.550636519175054,6.257801531334761e-07,9.43439560748235e-06,0.0029204796545453243,14.929999999999996,8.255313798538686e-05,9.728433267516093e-06,0.00011213103073059706,79535963,937713044,99.96119657761588,False
flat,v_from_pu,p.u.,938077050,0,1.035341469780543,1.0353414684805913,-1.299950787625519e-09,8.880367342959798e-08,9.611782843851116e-06,0.02286900000000025,8.584185645189045e-06,-1.2156606953039986e-07,8.584305272403545e-06,0,935893456,99.76722658336008,False
flat,v_to_pu,p.u.,938077050,0,1.0346499245009733,1.034649923748178,-7.527942400893451e-10,8.747893683146741e-08,1.0070514495797682e-05,0.02286900000000025,8.461349446205897e-06,-6.830913566347775e-08,8.461015741323546e-06,0,935906191,99.76858414775204,False
flat,ang_from_deg,degrees,938077050,0,-63.515548743213785,-63.51553829569652,1.0447517289547912e-05,2.640822499314423e-05,0.00021736595738212214,0.22690000000000055,9.142919425128774e-05,-1.9310592064742078e-05,9.204013629698468e-05,26,827434741,88.20541351054267,True
flat,ang_to_deg,degrees,938077050,0,-63.31619580483465,-63.316185365348176,1.0439486392725986e-05,2.639700267403916e-05,0.00022051521560054866,0.22690000000000055,0.00010415816350821577,-1.720931519335504e-05,0.00010441078056760735,48,827454462,88.20751578988101,True
convergence,iterations,iterations,31154,0,2.023881363548822,4.1374783334403284,2.113596969891507,2.113596969891507,3.802479399803235,23.0,101.0897477049496,101.0897477049496,46.41440106563528,0,13880,44.552866405597996,False
convergence,final_tolerance,p.u.,31154,0,1.019079144725849e-05,2.4777724398896903e-05,1.4586932951638413e-05,1.7379919309396004e-05,3.0116813875401156e-05,9.959188730000002e-05,30622.16511273149,30610.22463241744,63.87744352665671,214,14416,46.273351736534636,False
convergence,max_p_mismatch,p.u.,31154,0,0.00087500802465173,0.000309286126982089,-0.000565721897669641,0.000565721897669641,0.0012338952923990273,0.01,55.42058378226119,-55.42058378226119,110.84116756452238,2753,15414,49.47679270719651,False
convergence,max_q_mismatch,p.u.,31154,0,0.0009092026706040958,0.00038635809205880465,-0.0005228445785452912,0.0005228445785452912,0.000985589335795033,0.01,54.577821215400185,-54.577821215400185,109.15564243080037,2505,15518,49.81061821916929,False
buses,base_kv,kV,25001,0,130.42867085316587,130.42867085316587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,750,25001,100.0,False
