timer,gpu_average_seconds,cpu_average_seconds,gpu_maximum_seconds,cpu_maximum_seconds,gpu_minimum_seconds,cpu_minimum_seconds,average_speedup_cpu_over_gpu,average_time_reduction_percent,maximum_speedup_cpu_over_gpu,maximum_time_reduction_percent
Total Application,1314.2013,3269.9457,1314.2149,3269.9674,1314.1963,3269.9379,2.488161973359789,59.80969041779502,2.4881527366643006,59.80954122050269
Contingency: Total Application,0.26,541.8353,0.2986,574.6191,0.2341,467.6949,2083.981923076923,99.95201493885689,1924.377427997321,99.94803514188791
Contingency: Write Results,0.26,541.8299,0.2986,574.6128,0.2341,467.6897,2083.9611538461536,99.95201446062686,1924.3563295378433,99.94803457215016
Powerflow: Bus Update,21.4726,47.3841,22.8439,54.2039,20.3079,41.2086,2.206723917923307,54.68395516639548,2.3727953633136196,57.85561555533826
Powerflow: Create Linear Solver,0.1612,0.3396,0.1718,0.4082,0.1513,0.2982,2.106699751861042,52.532391048292105,2.3760186263096625,57.91278784909358
Powerflow: Create Mappers,190.6462,405.1489,200.0884,448.1864,180.431,362.4818,2.1251349358130405,52.944164478787926,2.2399419456600183,55.35598581304564
Powerflow: Factory Load,0.1814,0.6814,0.2352,1.0439,0.1158,0.4599,3.7563395810363835,73.3783387144115,4.438350340136055,77.46910623622952
Powerflow: Factory Operations,34.3858,142.1843,35.8704,148.4728,32.3068,136.3719,4.1349714126179995,75.81603594771012,4.139145367768411,75.84042329638831
Powerflow: Factory Set Components,0.0679,0.1255,0.0732,0.1486,0.0599,0.1032,1.8483063328424152,45.89641434262948,2.030054644808743,50.74024226110364
Powerflow: Factory Set Exchange,0.0042,0.0046,0.0128,0.0058,0.0025,0.004,1.0952380952380953,8.695652173913048,0.45312499999999994,-120.68965517241381
Powerflow: Map to Bus,7.4741,19.9338,7.8947,21.0286,7.1055,18.9335,2.6670502134036207,62.505392850334616,2.6636350969637856,62.457320030815175
Powerflow: Map to Matrix,144.9326,545.7969,153.4645,586.6674,137.4971,513.9917,3.7658670306059507,73.44569014591326,3.822821564596373,73.84131110745203
Powerflow: Map to Vector,53.3698,173.1479,56.005,186.8008,50.0988,162.4733,3.244304831571413,69.17675582551102,3.335430765110258,70.01886501556739
Powerflow: Network Parser,0.6359,3.3062,0.8796,5.066,0.4613,2.144,5.199245164334014,80.7664388119291,5.759436107321509,82.63718910382946
Powerflow: Partition,0.1083,0.2555,0.1323,0.3169,0.0852,0.1943,2.3591874422899357,57.61252446183953,2.3953136810279667,58.251814452508675
Powerflow: Solve Linear Equation,78.9215,140.1717,83.069,163.8407,74.5434,119.5376,1.7760901655442434,43.69655215710446,1.9723446773164477,49.29892267305986
Powerflow: Total Application,582.4515,1634.7694,612.0823,1684.9551,551.8944,1609.8485,2.8067047642593415,64.37102994465153,2.7528244159323014,63.67367296612235
Vector Map: Load Bus Data,89.5682,172.8159,91.2049,186.4849,87.5646,162.1186,1.9294336606072244,48.17131988433934,2.0446807134265814,51.092608570452626
Vector Map: New Vector,0.05,0.1723,0.0545,0.1953,0.0477,0.1454,3.446,70.98084735925711,3.5834862385321102,72.0942140296979
Vector Map: Set Vector,0.0995,0.0972,0.1217,0.116,0.0941,0.0812,0.9768844221105527,-2.3662551440329325,0.9531635168447001,-4.913793103448272
loadBusData: Add Elements,0.2897,0.3434,0.3731,0.3687,0.2739,0.3081,1.1853641698308595,15.63774024461269,0.9882069150361834,-1.1933821535123297
loadBusData: Add Vector Elements,89.5644,172.805,91.2014,186.4745,87.5607,162.1078,1.929393821652353,48.170249703422925,2.044645147991149,51.09175785429107
loadBusData: Fill Buffer,89.2341,172.3676,90.8712,186.0052,87.2478,161.7083,1.9316337588433123,48.23035187587458,2.0469103522348115,51.145881943085456
mapToBus: get Data,0.1964,2.2184,0.2097,2.3683,0.1853,2.1041,11.295315682281059,91.14677244861161,11.293752980448259,91.14554743909132
mapToBus: set Data,3.8124,9.9199,4.0088,10.4779,3.6623,9.5963,2.6020092330290634,61.56816096936461,2.6137248054280584,61.74042508517928
